Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S1017,John,Brown,student1017@univ.edu,Female,25,Business,50.36,80.62,82.08,55.74,72.46,95.69,45.71,70.747,B
S1018,Emma,Jones,student1018@univ.edu,Female,22,Mathematics,92.77,67.81,51.47,62.98,91.59,91.27,43.57,65.806,C
S1019,Ali,Johnson,student1019@univ.edu,Female,20,CS,86.18,95.85,48.31,66.73,82.92,42.6,92.24,71.937,B
S1020,Ali,Johnson,student1020@univ.edu,Male,19,CS,70.26,81.38,82.98,81.47,75.85,98.2,62.78,79.189,B
S1021,John,Brown,student1021@univ.edu,Male,23,CS,84.57,47.83,50.77,72.06,98.54,83.68,51.12,63.213,C
S1022,Omar,Johnson,student1022@univ.edu,Male,24,Engineering,86.61,98.0,62.41,50.04,69.88,71.46,67.94,71.845,B
S1023,Omar,Williams,student1023@univ.edu,Female,21,CS,76.98,58.98,67.37,59.48,74.78,48.76,84.76,67.019,C
S1024,Omar,Davis,student1024@univ.edu,Male,24,Engineering,63.34,82.01,80.2,75.56,82.41,74.09,97.69,79.844,B
S1025,Ahmed,Davis,student1025@univ.edu,Male,18,Engineering,98.88,43.49,40.42,56.95,99.14,84.57,84.4,61.837,C
S1026,Ali,Brown,student1026@univ.edu,Male,21,Business,63.81,57.36,67.86,55.66,50.23,92.44,90.49,65.254,C
S1027,John,Jones,student1027@univ.edu,Male,23,Business,89.63,76.39,76.59,75.77,60.61,74.57,55.42,73.915,B
S1028,Liam,Davis,student1028@univ.edu,Female,18,Engineering,94.44,92.28,42.17,79.55,66.34,73.36,54.38,68.224,C
S1029,Sara,Smith,student1029@univ.edu,Female,25,CS,68.24,86.69,98.03,51.9,63.96,59.87,55.65,76.31,B
S1030,Liam,Davis,student1030@univ.edu,Male,21,Engineering,81.89,74.17,76.79,92.01,52.94,98.5,51.88,75.269,B
S1031,Maria,Johnson,student1031@univ.edu,Male,24,Engineering,68.77,63.11,52.39,79.94,73.07,46.8,96.78,66.532,C
S1032,Ahmed,Johnson,student1032@univ.edu,Male,25,Mathematics,51.76,94.47,87.9,81.11,95.8,70.11,67.02,82.394,B
S1033,Emma,Brown,student1033@univ.edu,Female,20,Mathematics,50.69,85.7,79.55,53.07,81.71,98.71,96.62,76.803,B
S1034,Ali,Brown,student1034@univ.edu,Male,24,Mathematics,88.45,46.7,99.94,70.8,90.96,92.88,98.53,82.38,B
S1035,Sara,Brown,student1035@univ.edu,Female,19,Business,52.57,91.54,90.99,92.81,94.9,47.17,46.62,81.294,B
S1036,Liam,Davis,student1036@univ.edu,Female,22,Engineering,63.36,74.54,43.0,70.96,98.89,77.62,74.22,65.98,C
S1037,Maria,Brown,student1037@univ.edu,Female,18,Mathematics,62.11,87.83,63.94,60.8,56.86,79.54,48.52,66.594,C
S1038,Ahmed,Davis,student1038@univ.edu,Female,19,Mathematics,56.4,65.01,78.2,93.08,93.37,47.04,66.51,74.404,B
S1039,Sara,Johnson,student1039@univ.edu,Female,21,Business,69.87,58.26,97.66,67.18,78.93,91.59,79.38,78.424,B
S1040,Liam,Brown,student1040@univ.edu,Female,22,Engineering,71.13,45.36,42.19,58.01,59.01,88.86,57.27,53.614,D
S1041,Ahmed,Johnson,student1041@univ.edu,Female,20,Engineering,54.72,67.8,78.11,58.4,86.93,64.25,97.08,72.839,B
S1042,Omar,Williams,student1042@univ.edu,Male,19,Mathematics,98.13,41.3,70.64,59.08,68.77,84.11,83.11,67.52,C
S1043,Liam,Brown,student1043@univ.edu,Female,25,Business,88.92,85.93,57.85,93.5,68.72,86.87,90.69,77.743,B
S1044,Ahmed,Johnson,student1044@univ.edu,Male,20,Engineering,59.82,73.32,97.31,50.4,72.92,93.6,91.31,78.502,B
S1045,Maria,Davis,student1045@univ.edu,Female,21,CS,53.23,47.29,95.51,98.15,57.16,74.57,48.68,72.469,B
S1046,Ahmed,Johnson,student1046@univ.edu,Female,19,Business,65.15,81.76,88.33,62.95,77.01,91.9,43.95,75.499,B
S1047,Sara,Davis,student1047@univ.edu,Male,22,CS,89.77,65.45,49.5,54.53,64.53,75.75,75.85,62.922,C
S1048,Ahmed,Johnson,student1048@univ.edu,Female,23,Mathematics,56.3,78.65,68.4,87.51,95.83,45.35,86.82,75.539,B
S1049,Ali,Johnson,student1049@univ.edu,Male,23,Engineering,61.72,78.59,62.93,54.62,75.87,72.4,48.1,64.979,C
S1050,Liam,Jones,student1050@univ.edu,Female,21,CS,52.71,54.46,81.03,59.31,58.31,45.17,88.45,66.303,C
S1051,Liam,Davis,student1051@univ.edu,Male,20,Engineering,52.51,60.95,50.68,79.86,91.39,43.1,82.66,64.184,C
S1052,Ali,Davis,student1052@univ.edu,Female,20,CS,81.32,94.44,80.17,91.14,59.13,73.45,66.29,80.956,B
S1053,Omar,Brown,student1053@univ.edu,Male,23,Engineering,50.76,64.45,95.23,72.37,52.35,51.54,67.85,71.987,B
S1054,John,Williams,student1054@univ.edu,Male,23,Business,53.43,93.05,41.12,99.39,99.94,82.17,79.81,73.281,B
S1055,Omar,Smith,student1055@univ.edu,Male,20,Business,61.23,47.63,46.22,56.39,87.53,69.29,80.13,58.204,D
S1056,John,Johnson,student1056@univ.edu,Female,22,Engineering,81.27,92.83,97.86,81.43,52.87,65.66,98.08,86.644,A
S1057,Ali,Smith,student1057@univ.edu,Female,22,Business,87.88,79.05,62.98,83.45,74.8,94.79,63.46,74.575,B
S1058,Emma,Smith,student1058@univ.edu,Female,22,Mathematics,69.71,42.8,91.16,75.96,70.23,61.06,82.32,72.581,B
S1059,Sara,Smith,student1059@univ.edu,Male,25,Business,58.97,62.83,80.43,65.19,74.61,79.06,94.28,73.213,B
S1060,John,Johnson,student1060@univ.edu,Female,24,Business,77.64,64.8,51.79,92.18,63.22,68.73,43.13,64.159,C
S1061,Maria,Davis,student1061@univ.edu,Female,19,Engineering,61.6,67.65,84.39,56.31,52.65,73.81,94.16,71.825,B
S1062,Sara,Smith,student1062@univ.edu,Female,20,Engineering,57.38,43.75,43.62,82.91,73.06,51.64,75.67,57.465,D
S1063,Emma,Brown,student1063@univ.edu,Male,20,Engineering,60.05,75.27,47.71,87.71,98.07,80.15,47.55,67.098,C
S1064,Maria,Johnson,student1064@univ.edu,Female,21,CS,99.01,43.36,48.68,56.06,83.88,96.89,83.64,63.183,C
S1065,Sara,Smith,student1065@univ.edu,Male,18,CS,59.83,82.05,82.52,99.79,72.54,69.82,74.52,80.314,B
S1066,Maria,Brown,student1066@univ.edu,Female,20,CS,80.31,46.64,68.4,56.95,85.21,46.2,40.49,61.302,C
S1067,Emma,Williams,student1067@univ.edu,Female,18,Engineering,82.37,88.08,81.56,59.26,61.51,47.69,65.42,74.287,B
S1068,John,Brown,student1068@univ.edu,Female,20,CS,81.3,44.19,77.83,56.96,58.53,48.11,84.06,65.526,C
S1069,Ali,Williams,student1069@univ.edu,Female,22,CS,67.0,87.25,47.58,59.58,70.09,82.87,76.32,66.145,C
S1070,Maria,Davis,student1070@univ.edu,Female,25,Business,89.48,96.74,57.96,66.34,86.8,74.55,41.45,72.188,B
S1071,Ali,Davis,student1071@univ.edu,Female,20,Business,68.43,68.54,89.09,57.4,50.79,80.01,53.64,70.332,B
S1072,Ahmed,Williams,student1072@univ.edu,Female,18,Business,62.64,59.4,91.73,89.03,99.08,42.14,92.13,80.245,B
S1073,John,Jones,student1073@univ.edu,Female,22,Business,78.69,53.69,45.88,75.63,62.32,92.87,52.87,59.878,D
S1074,Ali,Jones,student1074@univ.edu,Male,22,Engineering,70.36,85.2,55.94,75.41,55.06,52.45,89.22,69.22,C
S1075,Maria,Brown,student1075@univ.edu,Female,19,Engineering,55.15,62.49,52.95,80.57,74.42,92.86,57.62,63.831,C
S1076,Ali,Brown,student1076@univ.edu,Female,22,Business,71.61,84.8,63.77,62.3,99.78,49.39,90.19,74.064,B
S1077,Liam,Williams,student1077@univ.edu,Male,21,Mathematics,88.0,43.16,77.46,78.13,60.72,48.3,62.94,67.171,C
S1078,Maria,Davis,student1078@univ.edu,Male,21,Mathematics,78.32,64.48,58.61,81.34,57.93,51.59,48.28,63.713,C
S1079,Maria,Brown,student1079@univ.edu,Male,21,Business,57.37,50.48,95.19,70.74,97.1,79.04,97.81,78.444,B
S1080,Maria,Williams,student1080@univ.edu,Female,24,CS,92.64,70.91,56.25,73.79,88.4,61.07,62.15,69.498,C
S1081,Emma,Smith,student1081@univ.edu,Male,22,Business,79.1,79.25,97.79,83.75,53.03,65.76,44.46,78.697,B
S1082,Omar,Jones,student1082@univ.edu,Female,23,Engineering,66.61,56.61,92.57,82.68,57.96,70.19,69.83,74.445,B
S1083,John,Brown,student1083@univ.edu,Female,19,Business,79.68,44.67,85.92,89.14,85.96,50.17,86.45,75.798,B
S1084,Maria,Johnson,student1084@univ.edu,Female,18,CS,52.94,48.54,96.24,95.3,63.66,95.37,78.6,77.163,B
S1085,Maria,Smith,student1085@univ.edu,Female,18,Engineering,93.91,59.18,57.04,65.62,82.52,60.92,58.04,65.284,C
S1086,Sara,Davis,student1086@univ.edu,Male,25,Business,93.8,78.86,63.3,72.19,65.56,99.32,41.42,70.634,B
S1087,Ahmed,Williams,student1087@univ.edu,Female,23,Mathematics,74.72,71.57,72.15,67.84,96.92,88.89,61.46,73.889,B
S1088,Sara,Davis,student1088@univ.edu,Male,20,Mathematics,81.46,45.47,78.22,72.19,52.59,85.18,74.47,68.499,C
S1089,Omar,Jones,student1089@univ.edu,Female,19,Engineering,67.03,97.14,64.41,50.01,89.47,54.2,51.48,69.76,C
S1090,Ahmed,Johnson,student1090@univ.edu,Male,18,Engineering,74.78,74.53,46.55,93.9,93.06,43.73,44.87,66.413,C
S1091,Ahmed,Brown,student1091@univ.edu,Male,22,Engineering,50.02,63.61,96.19,85.19,73.89,43.59,82.21,77.149,B
S1092,Ahmed,Johnson,student1092@univ.edu,Male,24,Engineering,60.01,58.94,75.89,59.4,53.26,85.56,91.33,68.203,C
S1093,Omar,Jones,student1093@univ.edu,Female,25,Business,75.81,82.85,81.21,79.74,97.32,66.49,85.46,82.077,B
S1094,Ali,Brown,student1094@univ.edu,Male,24,Business,96.16,51.27,92.18,69.6,82.02,69.09,82.07,77.827,B
S1095,Omar,Davis,student1095@univ.edu,Female,25,Mathematics,51.66,78.89,44.9,87.25,96.57,58.36,46.61,64.737,C
S1096,Omar,Davis,student1096@univ.edu,Male,19,Business,52.88,78.9,59.67,89.99,63.12,66.9,56.77,67.802,C
S1097,Sara,Davis,student1097@univ.edu,Male,18,Mathematics,99.6,42.91,49.21,65.2,82.13,78.78,81.13,63.35,C
S1098,John,Davis,student1098@univ.edu,Female,20,CS,52.59,73.26,71.48,93.0,87.31,59.82,61.17,73.144,B
S1099,Sara,Johnson,student1099@univ.edu,Male,24,Mathematics,69.19,66.93,84.69,83.6,64.93,96.82,96.63,79.249,B
S1100,Maria,Davis,student1100@univ.edu,Male,19,CS,90.09,98.42,98.17,51.88,75.68,98.83,72.92,85.728,A
S1101,Maria,Jones,student1101@univ.edu,Female,20,Mathematics,78.82,45.32,41.61,98.23,68.24,46.68,82.65,61.587,C
S1102,Emma,Jones,student1102@univ.edu,Male,20,CS,81.75,88.27,98.36,74.06,61.0,55.99,94.08,84.753,B
S1103,Emma,Jones,student1103@univ.edu,Female,22,CS,61.2,91.94,42.66,92.65,84.6,74.54,51.06,68.496,C
S1104,Omar,Jones,student1104@univ.edu,Female,18,Mathematics,80.42,93.14,92.93,71.36,88.41,57.0,61.01,83.045,B
S1105,Sara,Smith,student1105@univ.edu,Male,25,Business,51.78,49.18,41.47,65.83,63.83,87.54,89.81,57.071,D
S1106,Ahmed,Smith,student1106@univ.edu,Female,24,CS,93.79,73.11,50.38,52.02,50.13,64.22,57.86,60.928,C
S1107,Maria,Davis,student1107@univ.edu,Female,20,CS,90.06,88.65,98.97,57.66,63.16,89.74,85.42,84.421,B
S1108,Sara,Brown,student1108@univ.edu,Female,18,Engineering,78.09,59.71,60.02,80.79,94.14,88.0,76.76,71.365,B
S1109,Emma,Jones,student1109@univ.edu,Male,19,Business,88.38,76.99,49.06,88.36,71.98,46.71,70.93,68.834,C
S1110,Sara,Smith,student1110@univ.edu,Female,18,Engineering,61.69,73.03,43.6,57.07,54.35,67.82,50.72,56.314,D
S1111,Liam,Williams,student1111@univ.edu,Female,22,Business,95.13,67.54,49.14,86.16,83.78,60.75,99.6,72.062,B
S1112,Liam,Williams,student1112@univ.edu,Male,19,Mathematics,58.93,41.97,90.77,71.87,55.9,43.48,60.32,66.095,C
S1113,Ahmed,Brown,student1113@univ.edu,Female,21,Engineering,70.7,49.66,45.59,59.66,90.3,63.41,69.49,58.777,D
S1114,John,Williams,student1114@univ.edu,Male,25,CS,65.6,55.06,96.65,84.2,88.05,85.15,85.59,80.819,B
S1115,Liam,Davis,student1115@univ.edu,Male,21,Business,74.69,50.19,89.89,95.76,57.55,49.47,95.23,76.59,B
S1116,Sara,Jones,student1116@univ.edu,Male,23,Engineering,98.1,63.14,96.62,77.91,60.22,66.28,63.77,78.824,B
S1117,Omar,Davis,student1117@univ.edu,Female,25,CS,58.11,69.31,79.58,88.15,75.35,47.91,75.91,74.291,B
S1118,Liam,Davis,student1118@univ.edu,Female,18,Business,65.77,75.96,97.17,71.27,89.22,45.37,81.75,80.976,B
S1119,Emma,Jones,student1119@univ.edu,Female,19,CS,84.95,55.42,64.69,58.94,73.97,99.3,53.69,65.558,C
S1120,Omar,Johnson,student1120@univ.edu,Female,22,CS,60.43,65.73,68.26,64.85,53.53,80.31,48.57,63.62,C
S1121,Sara,Smith,student1121@univ.edu,Female,20,Business,52.28,89.14,79.61,80.83,66.2,63.17,79.29,76.771,B
S1122,Ali,Brown,student1122@univ.edu,Female,19,Engineering,94.26,53.08,85.68,58.74,59.39,87.25,57.4,70.599,B
S1123,Omar,Davis,student1123@univ.edu,Male,23,Engineering,51.93,72.57,41.01,69.81,56.57,67.62,46.04,56.123,D
S1124,John,Williams,student1124@univ.edu,Female,21,Business,90.26,40.56,53.13,99.47,64.63,98.12,91.32,68.498,C
S1125,Sara,Brown,student1125@univ.edu,Male,21,CS,53.94,63.51,83.74,56.99,54.62,98.75,69.16,69.082,C
S1126,Omar,Smith,student1126@univ.edu,Female,19,Engineering,68.44,61.99,95.75,75.14,52.42,92.79,79.29,77.049,B
S1127,Maria,Davis,student1127@univ.edu,Male,18,Engineering,55.96,46.46,94.31,58.43,91.08,43.92,81.71,71.421,B
S1128,Sara,Smith,student1128@univ.edu,Female,24,Business,78.1,74.84,40.57,91.85,73.74,78.82,71.74,67.215,C
S1129,Maria,Smith,student1129@univ.edu,Male,21,Engineering,99.9,54.89,61.43,91.95,75.26,71.48,88.59,73.149,B
S1130,Ahmed,Williams,student1130@univ.edu,Female,23,Engineering,80.39,94.49,49.11,52.64,94.2,64.96,97.36,71.97,B
S1131,Liam,Williams,student1131@univ.edu,Male,19,Engineering,85.87,57.4,70.51,69.34,68.73,89.99,70.01,69.995,C
S1132,Liam,Jones,student1132@univ.edu,Male,23,Business,95.0,49.96,52.51,64.21,60.39,80.65,71.68,62.116,C
S1133,Maria,Johnson,student1133@univ.edu,Male,23,Business,74.3,87.92,62.52,79.89,65.35,69.97,46.25,70.412,B
S1134,Ali,Jones,student1134@univ.edu,Male,20,Mathematics,63.27,71.47,90.21,52.6,60.08,91.7,84.76,74.643,B
S1135,John,Brown,student1135@univ.edu,Male,25,CS,54.4,55.68,56.01,74.85,51.21,98.73,50.23,59.687,D
S1136,Emma,Johnson,student1136@univ.edu,Female,18,Engineering,99.7,79.53,72.29,84.4,53.71,78.18,42.21,73.724,B
S1137,Ahmed,Davis,student1137@univ.edu,Female,24,Mathematics,79.96,54.57,41.83,72.76,71.41,64.73,82.45,60.995,C
S1138,Emma,Davis,student1138@univ.edu,Male,19,Business,84.66,82.14,46.83,95.76,76.81,63.84,90.03,73.183,B
S1139,Emma,Smith,student1139@univ.edu,Male,20,Engineering,76.29,75.26,80.71,79.99,85.26,98.93,64.83,78.848,B
S1140,John,Davis,student1140@univ.edu,Female,20,Engineering,88.06,61.56,98.74,79.07,97.43,88.88,96.8,86.468,A
S1141,John,Johnson,student1141@univ.edu,Female,19,Engineering,95.62,58.73,60.95,71.45,50.44,74.88,87.9,67.889,C
S1142,Ahmed,Smith,student1142@univ.edu,Male,21,Business,71.21,43.95,47.6,70.21,58.55,67.65,51.97,55.157,D
S1143,Ali,Williams,student1143@univ.edu,Female,23,CS,98.26,58.19,81.42,91.58,53.77,98.07,67.52,76.659,B
S1144,Liam,Jones,student1144@univ.edu,Female,22,Business,55.01,65.51,88.77,88.35,52.49,96.35,46.36,73.189,B
S1145,Liam,Davis,student1145@univ.edu,Male,19,Mathematics,57.84,45.5,95.58,65.61,52.64,96.97,40.18,67.53,C
S1146,Ali,Smith,student1146@univ.edu,Female,25,CS,74.81,51.4,91.29,79.38,61.38,65.6,94.15,75.888,B
S1147,Emma,Jones,student1147@univ.edu,Female,20,CS,93.99,61.85,74.45,60.51,70.55,62.69,47.73,68.143,C
S1148,Liam,Williams,student1148@univ.edu,Male,18,Business,91.47,78.82,82.72,70.05,64.22,94.35,66.38,78.012,B
S1149,Ahmed,Brown,student1149@univ.edu,Female,21,Mathematics,94.08,50.95,52.94,89.54,89.25,41.15,69.7,66.864,C
S1150,Omar,Williams,student1150@univ.edu,Female,24,CS,70.31,51.0,62.6,74.12,74.5,46.62,83.01,65.211,C
S1151,Ali,Brown,student1151@univ.edu,Male,20,Business,93.94,89.25,83.91,83.7,85.69,64.96,89.83,85.772,A
S1152,Liam,Jones,student1152@univ.edu,Female,19,Business,91.6,74.3,88.67,80.4,59.56,80.5,74.32,80.094,B
S1153,Emma,Davis,student1153@univ.edu,Male,21,Engineering,59.87,84.34,63.05,55.32,59.32,77.02,85.9,68.441,C
S1154,Sara,Smith,student1154@univ.edu,Female,19,Business,75.72,75.61,54.37,63.41,80.28,81.85,99.86,70.623,B
S1155,Ahmed,Brown,student1155@univ.edu,Male,22,CS,92.19,42.42,56.73,70.17,57.64,69.65,88.9,63.384,C
S1156,Omar,Jones,student1156@univ.edu,Female,21,Business,64.64,65.66,78.61,62.46,90.45,77.17,82.28,73.68,B
S1157,Maria,Smith,student1157@univ.edu,Male,19,Business,61.31,62.17,45.26,94.0,64.13,52.07,44.77,59.737,D
S1158,Emma,Williams,student1158@univ.edu,Male,22,Business,68.91,66.82,60.83,94.11,97.44,60.9,86.71,74.081,B
S1159,Ali,Jones,student1159@univ.edu,Female,20,Mathematics,99.2,44.51,56.13,91.58,67.8,42.82,88.1,67.129,C
S1160,Liam,Williams,student1160@univ.edu,Male,23,Mathematics,54.38,88.62,68.51,64.24,78.33,56.3,85.16,72.515,B
S1161,Maria,Johnson,student1161@univ.edu,Male,25,CS,62.96,86.49,46.28,93.75,90.49,90.96,64.46,71.583,B
S1162,Liam,Johnson,student1162@univ.edu,Female,22,CS,99.53,86.99,40.96,62.06,71.58,56.65,87.36,67.674,C
S1163,Ahmed,Johnson,student1163@univ.edu,Male,18,Business,95.23,99.46,52.61,81.25,78.2,83.02,74.52,76.808,B
S1164,Liam,Jones,student1164@univ.edu,Female,22,Business,75.17,53.6,43.0,88.76,87.24,40.64,73.25,62.532,C
S1165,John,Brown,student1165@univ.edu,Female,24,Mathematics,59.36,99.52,86.1,80.03,95.66,63.09,70.91,83.486,B
S1166,Liam,Johnson,student1166@univ.edu,Male,24,Mathematics,58.37,90.65,61.72,75.48,89.13,63.88,59.76,71.888,B
S1167,Ahmed,Davis,student1167@univ.edu,Male,20,Engineering,65.04,54.34,79.22,88.37,63.6,76.31,59.26,70.495,B
S1168,Sara,Davis,student1168@univ.edu,Female,25,Mathematics,86.97,77.53,69.36,58.55,57.13,48.18,67.33,68.648,C
S1169,Sara,Brown,student1169@univ.edu,Female,18,Mathematics,77.66,81.12,54.6,69.23,60.2,40.53,78.32,66.633,C
S1170,Sara,Jones,student1170@univ.edu,Male,22,Engineering,73.99,87.85,71.35,69.12,82.81,51.01,79.11,75.484,B
S1171,Liam,Smith,student1171@univ.edu,Male,23,Mathematics,63.94,72.14,87.0,62.53,94.45,80.18,82.41,77.996,B
S1172,Liam,Williams,student1172@univ.edu,Male,25,Business,54.35,54.65,86.26,87.12,67.44,70.08,54.61,71.02,B
S1173,Sara,Brown,student1173@univ.edu,Male,23,Business,87.97,88.57,77.14,57.91,75.36,47.45,56.11,73.859,B
S1174,Emma,Davis,student1174@univ.edu,Male,20,Engineering,97.78,86.41,94.84,78.05,53.56,90.49,74.49,84.549,B
S1175,Sara,Davis,student1175@univ.edu,Female,23,CS,88.44,65.03,63.66,98.36,67.3,52.54,84.65,73.524,B
S1176,Sara,Jones,student1176@univ.edu,Female,21,Business,71.26,52.87,89.94,82.78,65.92,49.86,66.15,72.799,B
S1177,Ali,Davis,student1177@univ.edu,Male,20,Mathematics,61.94,48.02,68.34,59.72,77.4,45.44,60.25,61.295,C
S1178,Maria,Smith,student1178@univ.edu,Male,20,Business,73.65,93.49,98.0,64.01,70.44,86.38,61.04,82.531,B
S1179,Ahmed,Davis,student1179@univ.edu,Female,20,CS,77.95,98.11,81.77,67.97,57.09,45.72,44.95,74.634,B
S1180,John,Davis,student1180@univ.edu,Female,21,Business,83.56,68.7,93.82,84.57,70.22,93.99,77.67,82.416,B
S1181,Maria,Brown,student1181@univ.edu,Female,22,Business,95.11,89.92,74.74,96.52,51.15,51.42,77.02,79.783,B
S1182,Ahmed,Johnson,student1182@univ.edu,Male,21,Engineering,53.4,75.2,61.63,60.7,53.24,92.84,46.89,62.629,C
S1183,Maria,Jones,student1183@univ.edu,Female,23,Business,80.9,69.54,76.39,51.24,59.77,60.2,55.31,67.119,C
S1184,Liam,Jones,student1184@univ.edu,Female,21,Mathematics,76.67,56.55,97.87,57.55,72.31,55.7,84.26,75.412,B
S1185,John,Smith,student1185@univ.edu,Male,25,CS,63.71,41.57,79.9,79.81,94.68,76.62,59.85,69.911,C
S1186,Emma,Brown,student1186@univ.edu,Male,25,Mathematics,77.89,71.73,44.86,74.22,94.71,81.06,75.23,67.773,C
S1187,Emma,Jones,student1187@univ.edu,Male,23,Mathematics,91.76,91.85,62.98,57.34,96.75,45.25,46.42,71.62,B
S1188,John,Johnson,student1188@univ.edu,Female,21,Mathematics,80.88,42.82,84.47,89.99,51.16,57.64,82.63,71.752,B
S1189,John,Smith,student1189@univ.edu,Female,18,Engineering,94.34,73.39,82.52,93.23,77.11,74.27,97.38,84.015,B
S1190,Emma,Jones,student1190@univ.edu,Female,20,Mathematics,74.17,83.83,42.3,94.89,52.87,72.51,85.76,68.595,C
S1191,Sara,Brown,student1191@univ.edu,Male,18,CS,70.31,68.91,69.02,65.81,96.13,64.34,47.94,69.014,C
S1192,John,Smith,student1192@univ.edu,Male,24,Mathematics,60.8,99.57,80.78,92.54,95.78,73.37,60.66,83.421,B
S1193,Emma,Johnson,student1193@univ.edu,Female,21,CS,64.94,94.47,71.1,58.06,76.88,81.51,86.27,75.818,B
S1194,Maria,Smith,student1194@univ.edu,Female,21,Mathematics,68.84,79.12,77.72,87.27,66.1,88.45,61.35,76.282,B
S1195,Omar,Brown,student1195@univ.edu,Female,23,CS,75.25,61.88,47.24,60.59,62.98,47.49,46.89,56.523,D
S1196,John,Brown,student1196@univ.edu,Male,24,Mathematics,83.8,80.67,41.52,73.08,89.54,57.9,55.1,65.291,C
S1197,John,Williams,student1197@univ.edu,Female,19,Engineering,88.86,56.44,50.75,50.47,97.62,83.93,92.3,66.158,C
S1198,Maria,Jones,student1198@univ.edu,Female,20,Engineering,86.53,40.69,41.61,73.46,65.29,94.91,69.54,58.522,D
S1199,Omar,Davis,student1199@univ.edu,Female,19,Business,54.74,94.57,62.42,61.39,87.59,53.63,56.6,69.423,C
S1200,Liam,Johnson,student1200@univ.edu,Female,20,Mathematics,92.8,97.94,95.04,69.12,59.77,72.44,80.07,85.354,A
S1201,Maria,Smith,student1201@univ.edu,Female,21,Engineering,85.12,99.36,54.37,80.94,52.96,78.63,59.28,71.992,B
S1202,Omar,Jones,student1202@univ.edu,Female,18,Mathematics,50.81,97.4,59.11,98.42,53.7,53.42,73.08,72.406,B
S1203,Liam,Davis,student1203@univ.edu,Female,24,Business,79.95,42.25,75.94,68.83,71.44,64.32,56.15,65.526,C
S1204,Ahmed,Brown,student1204@univ.edu,Male,25,Business,65.57,50.85,76.32,73.57,67.69,70.13,79.69,68.903,C
S1205,Emma,Smith,student1205@univ.edu,Male,20,Mathematics,67.38,48.56,81.54,76.4,77.13,94.25,57.59,70.557,B
S1206,Omar,Williams,student1206@univ.edu,Female,20,CS,64.21,68.59,74.86,74.01,55.94,44.56,89.02,70.422,B
S1207,Maria,Smith,student1207@univ.edu,Male,24,Engineering,61.52,40.5,94.7,76.5,82.76,61.16,41.8,69.651,C
S1208,Omar,Johnson,student1208@univ.edu,Female,24,CS,88.57,80.04,94.21,58.19,73.95,67.15,81.45,80.754,B
S1209,Maria,Davis,student1209@univ.edu,Female,19,Mathematics,91.35,65.76,72.72,83.79,65.25,48.08,62.58,71.858,B
S1210,Sara,Williams,student1210@univ.edu,Male,20,Mathematics,54.55,93.78,87.11,59.6,81.26,78.41,95.14,80.844,B
